GSP,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABTH_1,84.511,84.851,84.397,83.822,83.292,82.714,82.203,81.547,80.871,80.206,79.487,79.024,79.127,79.314,79.543,79.837,80.122,80.390,80.657,80.952,81.294,81.755,82.457,83.163,83.732,84.198,84.683,85.101,85.484,85.939,86.389,86.900
ACTL_2,8.308,8.341,8.296,8.240,8.188,8.131,8.081,8.016,7.950,7.884,7.814,7.768,7.778,7.797,7.819,7.848,7.876,7.902,7.929,7.958,7.991,8.037,8.106,8.175,8.231,8.277,8.324,8.365,8.403,8.448,8.492,8.542
ACTL_C,11.959,12.007,11.943,11.861,11.786,11.705,11.632,11.540,11.444,11.350,11.248,11.183,11.197,11.224,11.256,11.298,11.338,11.376,11.414,11.455,11.504,11.569,11.668,11.768,11.849,11.915,11.983,12.042,12.097,12.161,12.225,12.297
ALNE_P,9.728,9.767,9.715,9.648,9.587,9.521,9.462,9.386,9.309,9.232,9.149,9.096,9.108,9.129,9.156,9.190,9.223,9.253,9.284,9.318,9.357,9.410,9.491,9.572,9.638,9.692,9.747,9.796,9.840,9.892,9.944,10.003
ALST_3,6.029,6.053,6.021,5.980,5.942,5.901,5.864,5.817,5.769,5.722,5.670,5.637,5.645,5.658,5.674,5.695,5.716,5.735,5.754,5.775,5.799,5.832,5.882,5.933,5.973,6.006,6.041,6.071,6.098,6.131,6.163,6.199
ALVE1,69.612,69.892,69.518,69.045,68.608,68.132,67.711,67.171,66.614,66.066,65.474,65.092,65.177,65.331,65.520,65.762,65.997,66.218,66.438,66.681,66.962,67.342,67.920,68.502,68.971,69.355,69.754,70.098,70.413,70.789,71.159,71.580
AMEM_1,20.236,20.318,20.209,20.071,19.944,19.806,19.684,19.527,19.365,19.206,19.033,18.922,18.947,18.992,19.047,19.117,19.185,19.250,19.314,19.384,19.466,19.576,19.744,19.913,20.050,20.161,20.277,20.377,20.469,20.578,20.686,20.808
ARBR_P,10.063,10.103,10.049,9.981,9.917,9.849,9.788,9.710,9.629,9.550,9.464,9.409,9.421,9.444,9.471,9.506,9.540,9.572,9.604,9.639,9.679,9.734,9.818,9.902,9.970,10.025,10.083,10.133,10.178,10.233,10.286,10.347
ARDK_P,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ARMO_P,8.965,9.001,8.953,8.892,8.836,8.775,8.721,8.651,8.579,8.509,8.432,8.383,8.394,8.414,8.438,8.470,8.500,8.528,8.557,8.588,8.624,8.673,8.748,8.822,8.883,8.932,8.984,9.028,9.069,9.117,9.165,9.219
AXMI1,51.549,51.756,51.479,51.128,50.805,50.452,50.141,49.741,49.329,48.923,48.484,48.202,48.264,48.379,48.518,48.698,48.872,49.035,49.198,49.378,49.586,49.868,50.296,50.726,51.073,51.358,51.653,51.908,52.142,52.420,52.694,53.006
AYRR,15.734,15.798,15.713,15.606,15.507,15.400,15.304,15.182,15.057,14.933,14.799,14.713,14.732,14.767,14.809,14.864,14.917,14.967,15.017,15.072,15.135,15.221,15.352,15.483,15.589,15.676,15.766,15.844,15.915,16.000,16.084,16.179
BAGA,14.249,14.306,14.230,14.133,14.043,13.946,13.860,13.749,13.635,13.523,13.402,13.324,13.341,13.373,13.411,13.461,13.509,13.554,13.599,13.649,13.706,13.784,13.902,14.021,14.117,14.196,14.278,14.348,14.413,14.490,14.565,14.652
BAIN,8.342,8.375,8.331,8.274,8.222,8.165,8.114,8.049,7.983,7.917,7.846,7.800,7.810,7.829,7.852,7.881,7.909,7.935,7.962,7.991,8.024,8.070,8.139,8.209,8.265,8.311,8.359,8.400,8.438,8.483,8.527,8.578
BARKC1,47.689,47.880,47.624,47.300,47.001,46.674,46.386,46.016,45.635,45.260,44.854,44.592,44.650,44.756,44.885,45.051,45.212,45.363,45.514,45.681,45.873,46.134,46.530,46.928,47.249,47.512,47.786,48.021,48.238,48.495,48.749,49.037
BARKW3,64.629,64.888,64.541,64.101,63.696,63.254,62.863,62.362,61.845,61.336,60.786,60.432,60.511,60.654,60.829,61.054,61.272,61.477,61.681,61.907,62.168,62.521,63.057,63.597,64.033,64.389,64.760,65.079,65.372,65.721,66.065,66.456
