GSP,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABTH_1,118.630,113.493,103.362,97.157,92.417,89.884,87.510,85.353,83.202,81.395,79.911,78.568,77.975,77.402,76.711,76.160,75.586,74.909,74.109,73.162,72.479,71.454,70.478,69.749,69.264,68.743,69.128,68.668,68.321,68.596,68.731,68.399
ACTL_2,7.927,7.584,6.907,6.492,6.175,6.006,5.847,5.703,5.560,5.439,5.340,5.250,5.210,5.172,5.126,5.089,5.051,5.005,4.952,4.889,4.843,4.775,4.709,4.661,4.628,4.593,4.619,4.588,4.565,4.584,4.593,4.570
ACTL_C,13.753,13.158,11.983,11.264,10.714,10.421,10.145,9.895,9.646,9.436,9.264,9.109,9.040,8.973,8.893,8.830,8.763,8.685,8.592,8.482,8.403,8.284,8.171,8.086,8.030,7.970,8.014,7.961,7.921,7.953,7.968,7.930
ALNE_P,10.351,9.903,9.019,8.477,8.064,7.843,7.636,7.447,7.260,7.102,6.973,6.855,6.804,6.754,6.693,6.645,6.595,6.536,6.466,6.384,6.324,6.235,6.150,6.086,6.044,5.998,6.032,5.992,5.961,5.985,5.997,5.968
ALST_3,6.933,6.633,6.041,5.678,5.401,5.253,5.114,4.988,4.863,4.757,4.670,4.592,4.557,4.524,4.483,4.451,4.418,4.378,4.331,4.276,4.236,4.176,4.119,4.076,4.048,4.018,4.040,4.013,3.993,4.009,4.017,3.998
ALVE1,78.119,74.736,68.065,63.979,60.858,59.190,57.626,56.206,54.790,53.599,52.622,51.738,51.347,50.970,50.515,50.152,49.774,49.329,48.801,48.178,47.728,47.053,46.411,45.930,45.611,45.268,45.522,45.218,44.990,45.171,45.260,45.042
AMEM_1,26.906,25.741,23.443,22.036,20.961,20.386,19.848,19.358,18.871,18.461,18.124,17.820,17.685,17.555,17.399,17.274,17.143,16.990,16.808,16.593,16.439,16.206,15.985,15.819,15.709,15.591,15.679,15.574,15.496,15.558,15.589,15.513
ARBR_P,10.298,9.852,8.972,8.434,8.022,7.803,7.596,7.409,7.222,7.066,6.937,6.820,6.769,6.719,6.659,6.611,6.561,6.503,6.433,6.351,6.292,6.203,6.118,6.055,6.013,5.967,6.001,5.961,5.931,5.955,5.966,5.937
ARDK_P,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ARMO_P,13.462,12.879,11.729,11.025,10.487,10.200,9.930,9.686,9.441,9.236,9.068,8.916,8.848,8.783,8.705,8.642,8.577,8.500,8.410,8.302,8.225,8.108,7.998,7.915,7.860,7.801,7.844,7.792,7.753,7.784,7.799,7.762
AXMI1,67.086,64.181,58.452,54.943,52.262,50.830,49.487,48.267,47.051,46.029,45.190,44.430,44.095,43.771,43.381,43.069,42.744,42.362,41.909,41.373,40.987,40.408,39.856,39.443,39.169,38.875,39.092,38.832,38.636,38.792,38.868,38.680
AYRR,13.387,12.807,11.664,10.964,10.429,10.143,9.875,9.632,9.389,9.185,9.018,8.866,8.799,8.735,8.657,8.595,8.530,8.453,8.363,8.256,8.179,8.063,7.953,7.871,7.816,7.758,7.801,7.749,7.710,7.741,7.756,7.719
BAGA,13.151,12.581,11.458,10.770,10.245,9.964,9.701,9.462,9.223,9.023,8.859,8.710,8.644,8.580,8.504,8.443,8.379,8.304,8.215,8.110,8.035,7.921,7.813,7.732,7.678,7.621,7.663,7.612,7.574,7.604,7.619,7.582
BAIN,8.794,8.413,7.662,7.202,6.850,6.663,6.487,6.327,6.167,6.033,5.923,5.824,5.780,5.737,5.686,5.645,5.603,5.553,5.493,5.423,5.373,5.297,5.224,5.170,5.134,5.096,5.124,5.090,5.064,5.085,5.095,5.070
BARKC1,52.966,50.673,46.149,43.379,41.263,40.132,39.072,38.109,37.148,36.341,35.679,35.079,34.814,34.559,34.250,34.004,33.748,33.446,33.088,32.665,32.360,31.903,31.467,31.142,30.925,30.693,30.865,30.659,30.504,30.627,30.687,30.539
BARKW3,74.325,71.106,64.759,60.871,57.901,56.315,54.827,53.476,52.128,50.996,50.066,49.224,48.853,48.494,48.061,47.716,47.357,46.933,46.431,45.837,45.410,44.768,44.156,43.699,43.395,43.069,43.310,43.022,42.805,42.977,43.062,42.854
BEAU_P,10.096,9.659,8.797,8.269,7.865,7.650,7.448,7.264,7.081,6.927,6.801,6.687,6.636,6.587,6.529,6.482,6.433,6.375,6.307,6.226,6.168,6.081,5.998,5.936,5.895,5.850,5.883,5.844,5.814,5.838,5.849,5.821
BEDDT1,47.507,45.449,41.392,38.907,37.009,35.995,35.044,34.180,33.319,32.595,32.001,31.463,31.226,30.996,30.720,30.499,30.269,29.998,29.678,29.298,29.025,28.614,28.224,27.932,27.737,27.529,27.683,27.499,27.360,27.470,27.524,27.391
BEDD_1,203.201,194.401,177.047,166.419,158.300,153.962,149.895,146.200,142.516,139.420,136.878,134.578,133.562,132.581,131.398,130.454,129.471,128.312,126.940,125.318,124.148,122.393,120.721,119.472,118.641,117.749,118.409,117.620,117.026,117.498,117.729,117.161
BERB_P,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BERW,5.238,5.011,4.563,4.290,4.080,3.968,3.864,3.768,3.673,3.594,3.528,3.469,3.443,3.417,3.387,3.363,3.337,3.307,3.272,3.230,3.200,3.155,3.112,3.079,3.058,3.035,3.052,3.032,3.016,3.029,3.035,3.020
BESW_1,110.502,105.717,96.280,90.500,86.085,83.726,81.514,79.505,77.501,75.818,74.436,73.184,72.632,72.098,71.455,70.942,70.407,69.777,69.031,68.149,67.512,66.558,65.649,64.970,64.518,64.033,64.392,63.963,63.640,63.896,64.022,63.713
BICF_1,73.568,70.382,64.099,60.252,57.312,55.742,54.269,52.931,51.598,50.477,49.556,48.724,48.356,48.001,47.572,47.231,46.875,46.455,45.958,45.371,44.947,44.312,43.707,43.255,42.954,42.631,42.870,42.584,42.369,42.540,42.623,42.418
BIRK_1,106.584,101.969,92.866,87.292,83.033,80.757,78.624,76.686,74.754,73.130,71.796,70.590,70.057,69.542,68.922,68.427,67.911,67.303,66.584,65.732,65.119,64.198,63.322,62.666,62.230,61.763,62.109,61.695,61.383,61.631,61.752,61.454
BISW_1,169.272,161.942,147.486,138.632,131.869,128.255,124.867,121.789,118.720,116.141,114.024,112.107,111.261,110.444,109.458,108.673,107.853,106.887,105.745,104.393,103.419,101.957,100.564,99.524,98.832,98.089,98.638,97.981,97.486,97.879,98.072,97.598
BLYTB1,81.000,77.492,70.575,66.338,63.102,61.372,59.751,58.278,56.810,55.576,54.562,53.645,53.241,52.849,52.378,52.002,51.610,51.148,50.601,49.954,49.488,48.788,48.122,47.624,47.293,46.937,47.200,46.886,46.649,46.837,46.929,46.703
BLYTH132,25.125,24.037,21.891,20.577,19.573,19.037,18.534,18.077,17.622,17.239,16.925,16.640,16.515,16.393,16.247,16.130,16.009,15.865,15.696,15.495,15.351,15.134,14.927,14.772,14.670,14.559,14.641,14.543,14.470,14.528,14.557,14.487
BOAG_P,5.715,5.467,4.979,4.681,4.452,4.330,4.216,4.112,4.008,3.921,3.850,3.785,3.756,3.729,3.696,3.669,3.641,3.609,3.570,3.525,3.492,3.442,3.395,3.360,3.337,3.312,3.330,3.308,3.291,3.305,3.311,3.295
BOLN_1,335.607,321.073,292.411,274.859,261.449,254.284,247.567,241.464,235.380,230.266,226.069,222.269,220.591,218.971,217.017,215.459,213.834,211.920,209.655,206.975,205.043,202.144,199.383,197.320,195.948,194.475,195.564,194.261,193.281,194.060,194.441,193.503
BONN,21.859,20.912,19.046,17.902,17.029,16.562,16.125,15.727,15.331,14.998,14.724,14.477,14.368,14.262,14.135,14.033,13.928,13.803,13.655,13.481,13.355,13.166,12.986,12.852,12.763,12.667,12.738,12.653,12.589,12.640,12.665,12.603
BOTW_1,65.497,62.660,57.067,53.641,51.024,49.626,48.315,47.124,45.936,44.938,44.119,43.378,43.050,42.734,42.353,42.049,41.732,41.358,40.916,40.393,40.016,39.450,38.911,38.509,38.241,37.954,38.166,37.912,37.720,37.872,37.947,37.764
BRAC_P,13.362,12.783,11.642,10.943,10.409,10.124,9.857,9.614,9.372,9.168,9.001,8.850,8.783,8.718,8.640,8.578,8.514,8.437,8.347,8.241,8.164,8.048,7.938,7.856,7.802,7.743,7.786,7.734,7.695,7.726,7.742,7.704
BRAI_1,98.282,94.026,85.633,80.492,76.565,74.467,72.500,70.713,68.931,67.433,66.204,65.091,64.600,64.126,63.553,63.097,62.621,62.061,61.397,60.613,60.047,59.198,58.389,57.785,57.383,56.952,57.271,56.889,56.602,56.830,56.942,56.667
BRAP,9.705,9.285,8.456,7.948,7.561,7.353,7.159,6.983,6.807,6.659,6.537,6.428,6.379,6.332,6.276,6.231,6.184,6.128,6.063,5.985,5.929,5.846,5.766,5.706,5.666,5.624,5.655,5.618,5.589,5.612,5.623,5.596
