GSP,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABTH_1,118.631,117.177,117.750,117.659,117.958,118.413,118.142,116.156,114.655,113.575,112.647,112.292,113.003,113.614,114.269,114.893,115.446,116.315,117.160,117.970,118.753,119.223,119.765,120.490,121.188,121.833,122.437,122.947,123.407,123.806,124.155,124.443
ACTL_2,7.927,7.830,7.868,7.862,7.882,7.912,7.894,7.761,7.661,7.589,7.527,7.503,7.551,7.592,7.635,7.677,7.714,7.772,7.829,7.883,7.935,7.966,8.003,8.051,8.098,8.141,8.181,8.215,8.246,8.273,8.296,8.315
ACTL_C,13.753,13.585,13.651,13.641,13.675,13.728,13.697,13.466,13.292,13.167,13.060,13.018,13.101,13.172,13.248,13.320,13.384,13.485,13.583,13.677,13.767,13.822,13.885,13.969,14.050,14.125,14.195,14.254,14.307,14.353,14.394,14.427
ALNE_P,10.351,10.224,10.274,10.266,10.292,10.332,10.308,10.135,10.004,9.910,9.829,9.798,9.860,9.913,9.970,10.025,10.073,10.149,10.223,10.293,10.362,10.403,10.450,10.513,10.574,10.630,10.683,10.728,10.768,10.803,10.833,10.858
ALST_3,6.933,6.848,6.882,6.877,6.894,6.921,6.905,6.789,6.701,6.638,6.584,6.563,6.604,6.640,6.678,6.715,6.747,6.798,6.847,6.895,6.940,6.968,7.000,7.042,7.083,7.120,7.156,7.186,7.212,7.236,7.256,7.273
ALVE1,78.120,77.162,77.539,77.480,77.677,77.976,77.798,76.490,75.501,74.790,74.179,73.945,74.414,74.816,75.247,75.658,76.023,76.594,77.151,77.684,78.200,78.509,78.867,79.344,79.804,80.228,80.626,80.962,81.265,81.527,81.757,81.947
AMEM_1,26.906,26.576,26.706,26.686,26.754,26.857,26.795,26.345,26.004,25.760,25.549,25.468,25.630,25.768,25.917,26.058,26.184,26.381,26.572,26.756,26.934,27.040,27.164,27.328,27.486,27.632,27.769,27.885,27.989,28.080,28.159,28.224
ARBR_P,10.298,10.172,10.221,10.213,10.239,10.279,10.255,10.083,9.953,9.859,9.778,9.748,9.809,9.862,9.919,9.973,10.021,10.097,10.170,10.240,10.308,10.349,10.396,10.459,10.520,10.576,10.628,10.673,10.712,10.747,10.777,10.802
ARDK_P,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ARMO_P,13.462,13.297,13.362,13.351,13.385,13.437,13.406,13.181,13.011,12.888,12.783,12.742,12.823,12.892,12.967,13.038,13.100,13.199,13.295,13.387,13.476,13.529,13.590,13.673,13.752,13.825,13.894,13.952,14.004,14.049,14.089,14.121
