GSP,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABTH_1,118.630,115.429,110.646,106.887,104.466,102.482,101.108,100.920,101.083,101.301,101.477,101.622,101.839,102.142,102.335,102.260,102.276,102.109,101.894,101.680,101.381,100.709,100.640,100.930,100.566,99.531,98.610,98.321,97.904,97.151,96.325,95.833
ACTL_2,7.927,7.713,7.393,7.142,6.980,6.848,6.756,6.743,6.754,6.769,6.781,6.790,6.805,6.825,6.838,6.833,6.834,6.823,6.808,6.794,6.774,6.729,6.725,6.744,6.720,6.651,6.589,6.570,6.542,6.492,6.436,6.403
ACTL_C,13.753,13.382,12.828,12.392,12.111,11.881,11.722,11.700,11.719,11.744,11.765,11.781,11.807,11.842,11.864,11.855,11.857,11.838,11.813,11.788,11.753,11.676,11.668,11.701,11.659,11.539,11.432,11.399,11.350,11.263,11.167,11.110
ALNE_P,10.351,10.072,9.654,9.326,9.115,8.942,8.822,8.806,8.820,8.839,8.854,8.867,8.886,8.912,8.929,8.923,8.924,8.909,8.891,8.872,8.846,8.787,8.781,8.807,8.775,8.685,8.604,8.579,8.543,8.477,8.405,8.362
ALST_3,6.933,6.746,6.467,6.247,6.105,5.989,5.909,5.898,5.908,5.920,5.931,5.939,5.952,5.970,5.981,5.977,5.977,5.968,5.955,5.943,5.925,5.886,5.882,5.899,5.878,5.817,5.763,5.746,5.722,5.678,5.630,5.601
ALVE1,78.119,76.011,72.861,70.386,68.792,67.485,66.581,66.457,66.564,66.708,66.823,66.919,67.062,67.262,67.389,67.340,67.350,67.240,67.098,66.957,66.760,66.318,66.273,66.463,66.224,65.542,64.936,64.745,64.471,63.975,63.431,63.107
AMEM_1,26.906,26.180,25.095,24.243,23.694,23.243,22.932,22.889,22.926,22.976,23.015,23.048,23.098,23.166,23.210,23.193,23.197,23.159,23.110,23.062,22.994,22.841,22.826,22.891,22.809,22.574,22.365,22.300,22.205,22.034,21.847,21.735
ARBR_P,10.298,10.020,9.605,9.278,9.068,8.896,8.777,8.760,8.775,8.794,8.809,8.821,8.840,8.867,8.883,8.877,8.878,8.864,8.845,8.826,8.800,8.742,8.736,8.761,8.730,8.640,8.560,8.535,8.499,8.433,8.362,8.319
ARDK_P,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ARMO_P,13.462,13.098,12.556,12.129,11.854,11.629,11.473,11.452,11.470,11.495,11.515,11.532,11.556,11.591,11.613,11.604,11.606,11.587,11.563,11.538,11.504,11.428,11.420,11.453,11.412,11.294,11.190,11.157,11.110,11.024,10.931,10.875
