Region ID,GSP(s),GNode(s),GSP Group,Region Name,Test
1,COWL_1,COWL,_H,Cowley,1
2,MITY_1,MITY,_H,Minety,1
3,EALI_6,EALI,_H,Ealing,1
4,CHIC_1,CHIC,_H,Chickerell,1
106,RAIN_1,RAIN,_D,Rainhill,1
5,IVER_1;IVER_6,IVR1;IVR6,_H,Iver,1
7,LALE1SG003,LALE,_H,Laleham,1
8,NHYD_6,NHYDDW,_H,North Hyde,1
9,BOTW_1,BOTW,_H,Botley Wood,1
10,FAWL_1,FAWLDM,_H,Fawley,1
12,LOVE_1,LOVE,_H,Lovedean,1
13,NURS_1,NURS,_H,Nursling,1
14,MANN_1,MANN,_H,Mannington,1
15,BRLE_3,BRL3,_H,Bramley,1
16,ACTL_2;CBNK_H;GREE_H;PERI_H,WSD6;WSD7;WSD8WSD9,_H,Willesden,1
17,LOUD_H,AMEM,_H,Amersham,1
18,MELK_1,MELK,_H,Melksham,1
19,ECLA_1,ECLA,_B,East Claydon 132kv S Stn,1
20,ENDE_1,ENDEDW,_B,Enderby 400/132kv,1
21,GREN_1,GRENDW,_B,Grendon 400/132kv,1
22,RATS_1,RATS,_B,Ratcliffe 400/132kv,1
23,STAY_1,STAYDW,_B,Staythorpe C 132kv Switching Station,1
24,SBAR,STOB,_B,Stoke Bardolph 400/132kv,1
25,WBUR_1,WBUR,_B,West Burton 132kv S Stn,1
26,BICF_1,BICF,_B,Bicker Fen 132kv,1
27,CHTE_1,CHTE,_B,Chesterfield 275/132kv (Ngt),1
28,BESW_1,BESW,_B,Berkswell 275/132kv,1
29,COVE_1,COVE,_B,Coventry 275/132kv,1
30,DRAK_1,DRAK,_B,Drakelow 275/132kv,1
31,WILL_1,WILLDM,_B,Willington 400/275/132kv,1
32,WALP_B,WALPDM,_B,Walpole 132kv S Stn,1
33,CELL_1,CELL,_E,Cellarhead 132kv,1
34,WALH_1,WALH,_E,Port Ham 132kv,1
35,BISW_1,BISW,_E,Bishops Wood 275/132kv,1
36,BUSH_1,BUSH,_E,Bushbury D 132kv National Grid Site,1
37,BUST_1,BUST,_E,Bustleholm 132/11kv National Grid Site,1
38,FECK_6,FECKDM,_E,Feckenham 66/11kv,1
39,IRONB1,IRON,_E,Ironbridge 400/132kv,1
40,KITW_1,KITW,_E,Kitwell,1
41,HAMHC1,LEMR,_E,Lea Marston 132kv National Grid Site,1
42,OCKH_1,OCKH,_E,Ocker Hill,1
43,OLDB_1,OLDB,_E,Oldbury 132kv National Grid Site,1
44,PENN_1,PENN,_E,Penn 132kv National Grid Site,1
45,RUGEB1,RUGE,_E,Rugeley,1
46,SHRW_1,SHREDW,_E,Shrewsbury 132/33kv,1
47,WIEN_1,WIEN,_E,Willenhall 132/25kv,1
48,NECE_1,NEC2;NEC1DM,_E,Nechells East 132kv National Grid Site,1
49,MAGA_6,MAGA,_K,Grange Bsp,1
50,PYLE_1,PYLEDW,_K,Pyle Primary,1
51,ABTH_1,ABTHDM,_K,Aberthaw Power Station,1
52,CARE_1,CARE,_K,Cardiff East Grid Primary,1
53,PEMB_1,PEMB,_K,Pembroke Power Station Bsp,1
54,RASS_1,RASSDW,_K,Rassau B.S.P.,1
55,SWAN_1,SWANDW,_K,Swansea North Grid,1
56,UPPB_1;UPPB_3,UPP1;UPP3,_K,Upper Boat Primary,1
57,USKM_1;ALST_3,USKMDW;USK3,_K,Uskmouth,1
58,BRWA1,BRWA,_L,Bridgwater S.G.P.,1
59,TAUN1,TAUN,_L,Taunton S.G.P.,1
60,IROA1,IROADW,_L,Iron Acton S.G.P.,1
61,SEAB1,SEAB,_L,Seabank Sgp,1
62,ABHA1,ABHA,_L,Abham S.G.P.,1
63,ALVE1,ALVE,_L,Alverdiscott S.G.P.,1
64,AXMI1,AXMI,_L,Axminster S.G.P.,1
65,EXET1,EXET,_L,Exeter Main S.G.P.,1
66,INDQ1,INDQ,_L,Indian Queens Sgp,1
67,LAND1,LAND,_L,Landulph S.G.P.,1
68,BRIM_1,BRIMDM,_A,Brimsdown,1
69,TOTT_1,TOTT,_A,Tottenham,1
70,BRAI_1,BRAI,_A,Braintree,1
71,BURM_1,BURWDW,_A,Burwell,1
72,EASO_1,EASO,_A,EatonSocon,1
73,MILH_1,MILH,_A,MillHill,1
74,PELH_1,PELH,_A,Pelham,1
75,RAYL_1,RAYLDW,_A,Rayleigh,1
76,RYEH_1,RYEH,_A,RyeHouse,1
77,SUND_1,SUND,_A,Sundon,1
78,WARL_1,WARL,_A,Warley,1
79,WATFS_1,WATS,_A,WatfordSouth,1
80,WTHU31,WTHU,_A,WestThurrock,1
81,WYMOM_1,WYMODW,_A,Wymondley,1
82,ELST_1;ELST_2;ELST_3,ELS2;ELSA;STMO,_A,Elstree,1
83,TILBB_1;TILBB_2,TIL1;TIL2,_A,Tilbury,1
84,AMEM_1,AMEM,_A,Amersham,1
85,BRFO_1,BRFODW,_A,Bramford,1
86,NORM_1,NORMDW,_A,Norwich,1
87,WALP_1,WALPDM,_A,Walpole,1
88,BARKC1;BARKW3,BRK1;BRK3,_C,Barking,1
89,BEDDT1,SYD1,_C,Beddington,1
90,CITR_1,CITR,_C,CityRoad,1
91,HACK_1;HACK_6,HCK1;HCK2,_C,Hackney,1
92,HURS_1,HURS,_C,Hurst,1
93,REBR_3,REBR,_C,Redbridge,1
94,SJOW_1,SJOW,_C,StJohnsWood,1
95,WHAM_1,WHAM,_C,WestHam,1
