Name,Easting,Northing,Type,Voltage__kV_,BSP_Group,BCA_Group__GSP_
Albion St (33 kV / 6.6 kV),"367434.0","426087.0",Primary,33 kV / 6.6,Lower Darwen,Rochdale
Alderley & Chelford (33 kV / 11 kV),"385044.0","379026.0",Primary,33 kV / 11,Moss Nook,South Manchester
Alston (33 kV / 11 kV),"372125.0","546499.0",Primary,33 kV / 11,Penrith & Shap,Hutton
Ambleside (33 kV / 11 kV),"337602.0","503506.0",Primary,33 kV / 11,Kendal (Parkside Rd),Hutton
Ancoats North T11 & T12 (33 kV / 6.6 kV),"385022.0","398830.0",Primary,33 kV / 6.6,Red Bank,Whitegate
Ancoats North T14 (33 kV / 6.6 kV),"385032.0","398840.0",Primary,33 kV / 6.6,Red Bank,Whitegate
Annie Pit (33 kV / 11 kV),"300011.0","527810.0",Primary,33 kV / 11,Stainburn & Siddick,Harker
Ansdell (33 kV / 6.6 kV),"334416.0","428229.0",Primary,33 kV / 6.6,Lytham,Penwortham 
Ardwick (33 kV / 6.6 kV),"384753.0","397415.0",Primary,33 kV / 6.6,Stuart St,Stalybridge
Arnside (33 kV / 11 kV),"346495.0","478180.0",Primary,33 kV / 11,Kendal (Parkside Rd),Hutton
Ashton (Golborne) (33 kV / 6.6 kV),"357056.0","400663.0",Primary,33 kV / 6.6,Orrell,Washway Farm
Ashton (Ribble) (33 kV / 6.6 kV),"350275.0","430526.0",Primary,33 kV / 6.6,Ribble,Penwortham 
Ashton On Mersey (33 kV / 6.6 kV),"377188.0","392252.0",Primary,33 kV / 6.6,Sale,Carrington
Ashton Under Lyne T11 & T12 (33 kV / 6.6 kV),"393275.0","399319.0",Primary,33 kV / 6.6,Hartshead-Heyrod,Stalybridge
Ashton Under Lyne T13 (33 kV / 6.6 kV),"393285.0","399329.0",Primary,33 kV / 6.6,Hartshead-Heyrod,Stalybridge
Ashwood Dale (33 kV / 6.6 kV),"406537.0","373050.0",Primary,33 kV / 6.6,Buxton,Stalybridge
Askam & Dalton (33 kV / 11 kV),"321558.0","477806.0",Primary,33 kV / 11,Ulverston,Harker
Askerton Castle (33 kV / 11 kV),"354779.0","568913.0",Primary,33 kV / 11,"-",Harker
Aspatria (33 kV / 11 kV),"314417.0","542840.0",Primary,33 kV / 11,Stainburn & Siddick,Harker
Atherton Town Centre (33 kV / 11 kV),"367546.0","403338.0",Primary,33 kV / 11,Atherton,Kearsley
Athletic St (33 kV / 6.6 kV),"385381.0","432208.0",Primary,33 kV / 6.6,Burnley,Rochdale
Avenham (33 kV / 6.6 kV),"354028.0","429192.0",Primary,33 kV / 6.6,Preston East,Penwortham 
Baguley (33 kV / 11 kV),"380562.0","389035.0",Primary,33 kV / 11,Sale,Carrington
Bamber Bridge (33 kV / 11 kV),"356431.0","426698.0",Primary,33 kV / 11,Ribble,Penwortham 
Barbara St (33 kV / 6.6 kV),"370695.0","407609.0",Primary,33 kV / 6.6,Bolton,Kearsley
Barrow (33 kV / 11 kV),"319709.0","470489.0",Primary,33 kV / 11,Barrow & Sandgate,Harker
Barton Dock Rd (33 kV / 6.6 kV),"378864.0","395534.0",Primary,33 kV / 6.6,Barton,Carrington
Bedford (33 kV / 11 kV),"366258.0","399876.0",Primary,33 kV / 11,Atherton,Kearsley
Belgrave (33 kV / 6.6 kV),"393008.0","403366.0",Primary,33 kV / 6.6,Greenhill,Whitegate
Benchill (33 kV / 11 kV),"382454.0","388020.0",Primary,33 kV / 11,West Didsbury,South Manchester
Bentham (33 kV / 11 kV),"366887.0","470130.0",Primary,33 kV / 11,Kendal (Parkside Rd),Hutton
Bispham (33 kV / 6.6 kV),"331655.0","439667.0",Primary,33 kV / 6.6,Bispham,Penwortham 
Blackbull (33 kV / 6.6 kV),"353041.0","433005.0",Primary,33 kV / 6.6,Ribble,Penwortham 
Blackburn (33 kV / 6.6 kV),"370584.0","429294.0",Primary,33 kV / 6.6,Blackburn,Penwortham 
Blackfriars (33 kV / 6.6 kV),"383030.0","399104.0",Primary,33 kV / 6.6,Frederick Rd,Kearsley
Blackley (33 kV / 6.6 kV),"383882.0","403258.0",Primary,33 kV / 6.6,Red Bank,Whitegate
Blackpool (33 kV / 6.6 kV),"330835.0","435308.0",Primary,33 kV / 6.6,Blackpool,Penwortham 
Bollington (33 kV / 11 kV),"393042.0","377873.0",Primary,33 kV / 11,Macclesfield,Macclesfield
Bolton By Bowland (33 kV / 11 kV),"378320.0","449559.0",Primary,33 kV / 11,Padiham,Padiham
Bolton Le Sands (33 kV / 11 kV),"347707.0","467237.0",Primary,33 kV / 11,Lancaster,Heysham
Botany Bay (33 kV / 11 kV),"359442.0","418850.0",Primary,33 kV / 11,Leyland,Penwortham 
Bow Lane (33 kV / 11 kV),"354895.0","422392.0",Primary,33 kV / 11,Leyland,Penwortham 
Bowaters (33 kV / 11 kV),"319579.0","472480.0",Primary,33 kV / 11,Barrow & Sandgate,Harker
Bowdon (33 kV / 11 kV),"376743.0","386810.0",Primary,33 kV / 11,Altrincham,Carrington
Bradford (33 kV / 6.6 kV),"387613.0","397710.0",Primary,33 kV / 6.6,Stuart St,Stalybridge
Bradshawgate (33 kV / 6.6 kV),"371891.0","408910.0",Primary,33 kV / 6.6,Bolton,Kearsley
Bramhall (33 kV / 11 kV),"389440.0","386463.0",Primary,33 kV / 11,Hazel Grove,Bredbury
